,# index, name, nodeLabel, _pos
130,130,American_Samoa,American_Samoa,"array([-4.62400238, -3.90843147])"
131,131,Antigua_and_Barbuda,Antigua_and_Barbuda,"array([-4.28595248, -4.01418832])"
94,94,Bolivia_(Plurinational_State_of),Bolivia_(Plurinational_State_of),"array([-4.38305355, -4.01484635])"
50,50,Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,"array([-4.43374004, -4.01764927])"
187,187,British_Virgin_Islands,British_Virgin_Islands,"array([-4.46481689, -4.13039496])"
201,201,Brunei_Darussalam,Brunei_Darussalam,"array([-4.39103594, -3.78813566])"
169,169,Burkina_Faso,Burkina_Faso,"array([-4.43754126, -4.03555492])"
52,52,Cabo_Verde,Cabo_Verde,"array([-4.46488249, -4.03354487])"
209,209,Cayman_Islands,Cayman_Islands,"array([-4.2373855 , -3.94660528])"
117,117,Central_African_Republic,Central_African_Republic,"array([-4.36849038, -3.88658357])"
7,7,"China,_Hong_Kong_SAR","China,_Hong_Kong_SAR","array([-4.40214691, -3.95019817])"
139,139,"China,_Macao_SAR","China,_Macao_SAR","array([-4.40467219, -3.90026191])"
9,9,"China,_Taiwan_Province_of","China,_Taiwan_Province_of","array([-4.40799818, -3.94559593])"
8,8,"China,_mainland","China,_mainland","array([-4.4202127 , -3.96274827])"
190,190,Cook_Islands,Cook_Islands,"array([-4.43368604, -3.76781587])"
57,57,Costa_Rica,Costa_Rica,"array([-4.38568897, -3.98912031])"
62,62,Czech_Republic,Czech_Republic,"array([-4.454535 , -3.9803759])"
58,58,C̫te_d'Ivoire,C̫te_d'Ivoire,"array([-4.40896243, -4.00853643])"
140,140,Democratic_People's_Republic_of_Korea,Democratic_People's_Republic_of_Korea,"array([-4.31545466, -3.93552164])"
141,141,Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo,"array([-4.32724791, -3.91282207])"
64,64,Dominican_Republic,Dominican_Republic,"array([-4.39096318, -4.03630341])"
96,96,El_Salvador,El_Salvador,"array([-4.36308748, -3.97760598])"
196,196,Equatorial_Guinea,Equatorial_Guinea,"array([-4.48119079, -3.73746885])"
173,173,Falkland_Islands_(Malvinas),Falkland_Islands_(Malvinas),"array([-4.61259564, -3.87356467])"
197,197,Faroe_Islands,Faroe_Islands,"array([-4.54097036, -4.13385086])"
181,181,French_Polynesia,French_Polynesia,"array([-4.45366335, -3.92647439])"
18,18,Iran_(Islamic_Republic_of),Iran_(Islamic_Republic_of),"array([-4.46331076, -3.94548478])"
146,146,Lao_People's_Democratic_Republic,Lao_People's_Democratic_Republic,"array([-4.51796948, -4.00041512])"
203,203,Libya,Libya,"array([-4.38379798, -4.07958411])"
148,148,Marshall_Islands,Marshall_Islands,"array([-4.27947449, -4.08874669])"
204,204,Micronesia_(Federated_States_of),Micronesia_(Federated_States_of),"array([-4.2173086 , -3.84633574])"
128,128,Netherlands_Antilles,Netherlands_Antilles,"array([-4.40553948, -4.07748835])"
155,155,New_Caledonia,New_Caledonia,"array([-4.46291076, -3.93359201])"
104,104,New_Zealand,New_Zealand,"array([-4.41918619, -3.93993279])"
185,185,Occupied_Palestinian_Territory,Occupied_Palestinian_Territory,"array([-4.52458764, -3.91588809])"
105,105,Papua_New_Guinea,Papua_New_Guinea,"array([-4.4944238 , -3.89572239])"
30,30,Republic_of_Korea,Republic_of_Korea,"array([-4.40484886, -3.96071709])"
82,82,Republic_of_Moldova,Republic_of_Moldova,"array([-4.45329893, -4.01088261])"
31,31,Russian_Federation,Russian_Federation,"array([-4.45139616, -3.96192079])"
207,207,"Saint_Helena,_Ascension_and_Tristan_da_Cunha","Saint_Helena,_Ascension_and_Tristan_da_Cunha","array([-4.7154425 , -3.83829572])"
176,176,Saint_Kitts_and_Nevis,Saint_Kitts_and_Nevis,"array([-4.26444893, -3.90810578])"
159,159,Saint_Lucia,Saint_Lucia,"array([-4.29091441, -3.98495685])"
199,199,Saint_Pierre_and_Miquelon,Saint_Pierre_and_Miquelon,"array([-4.2936013 , -4.28467882])"
177,177,Saint_Vincent_and_the_Grenadines,Saint_Vincent_and_the_Grenadines,"array([-4.34689394, -3.98176101])"
84,84,Sao_Tome_and_Principe,Sao_Tome_and_Principe,"array([-4.39878809, -4.13852664])"
32,32,Saudi_Arabia,Saudi_Arabia,"array([-4.44809204, -3.95398355])"
125,125,Sierra_Leone,Sierra_Leone,"array([-4.51952451, -3.88935549])"
161,161,Solomon_Islands,Solomon_Islands,"array([-4.57707038, -4.00423335])"
108,108,South_Africa,South_Africa,"array([-4.4086074 , -3.95440968])"
109,109,Sri_Lanka,Sri_Lanka,"array([-4.42876867, -3.93088579])"
110,110,Sudan_(former),Sudan_(former),"array([-4.44658323, -3.86698413])"
88,88,Syrian_Arab_Republic,Syrian_Arab_Republic,"array([-4.44823842, -3.997586  ])"
89,89,The_former_Yugoslav_Republic_of_Macedonia,The_former_Yugoslav_Republic_of_Macedonia,"array([-4.46205085, -4.01369091])"
163,163,Timor-Leste,Timor-Leste,"array([-4.54947091, -3.84332989])"
111,111,Trinidad_and_Tobago,Trinidad_and_Tobago,"array([-4.37235386, -3.98537086])"
200,200,Turks_and_Caicos_Islands,Turks_and_Caicos_Islands,"array([-4.29262248, -3.86741574])"
42,42,United_Arab_Emirates,United_Arab_Emirates,"array([-4.41759561, -3.92917329])"
43,43,United_Kingdom,United_Kingdom,"array([-4.42496545, -3.97071574])"
112,112,United_Republic_of_Tanzania,United_Republic_of_Tanzania,"array([-4.4081896, -3.9187246])"
44,44,United_States_of_America,United_States_of_America,"array([-4.41270545, -3.96789979])"
92,92,Unspecified,Unspecified,"array([-4.44183768, -4.01791378])"
93,93,Venezuela_(Bolivarian_Republic_of),Venezuela_(Bolivarian_Republic_of),"array([-4.38143781, -4.00278116])"
46,46,Viet_Nam,Viet_Nam,"array([-4.43505543, -3.99848696])"
